source,target
飛車香落ち,Rook-Lance Handicap
履歴はありません。,No history.
"119手
","119 moves
"
棋譜履歴,Game Record History
対局相手名,Opponent Name
10分＋30秒,10 min + 30 sec
先手,Sente
プロフィール,Profile
棋譜,Game Record
全国対局,Ranked Match
絞り込み,Filter
セリフ,Voice Lines
スキップ,Skip
詰道場 / 詰将棋,Tsume Dojo / Tsume Shogi
35 先手 ▲5五角(43),35 Sente ▲5五 Bishop(43)
リセット,Reset
次の問題へ,Next Problem
将棋のルール,Shogi Rules
３手詰,Mate in 3
正解時に一時停止,Pause on Correct Answer
1手戻す,Undo 1 Move
ルーム設定,Room Settings
待機中,Waiting
対局中,In Match
着席,Sit
手番: ランダム,Turn: Random
ルームID: -,Room ID: -
手番: 先手,Turn: Sente
手番: 後手,Turn: Gote
プレイヤー名,Player Name
観戦,Spectate
卓3,Table 3
卓1,Table 1
メンバー,Members
チャット,Chat
卓2,Table 2
コピー,Copy
卓4,Table 4
年齢: 歳,Age: years
絆レベル１で解放,Unlocked at Bond Lv. 1
贈り物,Gifts
師弟契約済！,Mentorship Active!
CV: 声優名,VA: Voice Actor
棋士,Shogi Player
師弟契約,Mentorship
キャラクター名（ひらがな）,Character Name (Hiragana)
説明,Description
親密度: {0} / 5,Bond: {0} / 5
身長: cm,Height: cm
ボイス,Voice
好きな戦法:,Favorite Strategy:
親密度: 0 / 5,Bond: 0 / 5
誕生日: 月日,Birthday: Month/Day
ボイス名,Voice Name
メンバー一覧,Member List
詳細,Details
ルーム主,Room Host
メンバーはいません。,No members.
クレジット,Credits
1手詰,Mate in 1
棋桜オリジナル問題,Original Kiou Problems
所持アイテムはありません。,You have no items.
{0} {1}手,{0} {1} moves
{0}手,{0} moves
親密度pt +{0},Bond Pt. +{0}
ランク対局,Ranked Match
戻る,Back
獲得報酬一覧,Rewards Earned
なし,None
絆経験値+0,Bond EXP +0
投了 24手,"Resignation, 24 moves"
初心者サポート,Beginner Support
ルーム公開設定,Room Visibility
ルーム主以外は設定を変更できません。,Only the room host can change settings.
ランダム,Random
秒読み,Byoyomi
持ち時間,Time Limit
棋桜覚醒の使用回数,Kiou Awakening Uses
手番,Turn
30秒,30 sec
ルール,Rules
10分,10 min
固定,Fixed
ルームIDを表示する,Show Room ID
加算,Increment
特別な贈り物,Special Gift
アイテム名,Item Name
"親密度が5になると
師弟契約を結ぶことができます。","When Bond reaches 5,
you can form a mentorship."
師弟契約済です。,Mentorship already active.
アイテムはありません。,No items.
以下の報酬を獲得しました。,You received the following rewards.
報酬獲得,Rewards Received
保管庫,Storage
運営からの個別メッセージはありません。,No personal messages from the team.
タイトル,Title
戦績,Record
10分+30秒,10 min + 30 sec
マスタリーはありません。,No mastery entries.
通算勝率,Overall Win Rate
5分+5秒追加,5 min + 5 sec increment
3分切れ負け,3 min sudden death
名前変更,Change Name
先手勝率,Sente Win Rate
棋譜一覧,Game Records
お気に入り,Favorites
マスタリー,Mastery
装飾品設定,Cosmetic Settings
段級,Rank
違反報告,Report Violation
囲い,Castle
戦法,Strategy
後手勝率,Gote Win Rate
ユーザー名,Username
連勝記録,Win Streak Record
名前,Name
ギフトはありません。,No gifts.
あと 999日,999 days left
受取,Claim
運営からのプレゼントです。,A gift from the team.
10回引く,Draw 10
10回縁結び,10 Bond Draws
{0}回縁結び,{0} Bond Draws
0 / 0手,0 / 0 moves
あいうえおかきくけこさし,Sample Player Name
自分のプレイヤー名,Your Player Name
本譜に戻る,Return to Main Line
次,Next
前,Previous
最初,First
256<size=24>手目</size>,<size=24>Move</size> 256
18級,18 Kyu
対戦相手のプレイヤー名,Opponent Player Name
本譜,Main Line
ここから対局,Play From Here
最後,Last
勝利,Win
プレイヤー,Player
初段,1 Dan
後手,Gote
"{0} とアカウントを連携しますか？

<color=#FFC560>{0} に連携できるアカウントは最大1つです。</color>","Link your account with {0}?

<color=#FFC560>Only one account can be linked to {0}.</color>"
"{0} とデータを連携しますか？

<color=#FFE223>{0} に連携できるデータは最大1つです。</color>","Link your data with {0}?

<color=#FFE223>Only one data profile can be linked to {0}.</color>"
確認,Confirm
駒・棋盤などのカスタマイズ,"Customize pieces, boards, and more"
所持棋士の詳細,Owned Player Details
所持アイテムの一覧,Owned Items
表示物がありません。,Nothing to display.
通常,Normal
"『10回縁結び』をすると紫の贈り物を
必ず1つ以上獲得できます。","A 10 Bond Draw guarantees
at least one Purple Gift."
項目,Item
提供割合,Rates
紫の贈り物確定,Purple Gift Guaranteed
詳細を入力してください（任意）,Enter details (optional)
不適切なユーザー名,Inappropriate Username
その他,Other
このユーザーの違反行為を選んでください。,Select this user's violation.
ハラスメント行為,Harassment
不正と思わしき行為,Suspected Cheating
"新着通知があります
<color=#FF5779>その他</color>","You have new notifications
<color=#FF5779>Other</color>"
以下のアイテムに変換されました。,Converted into the following items.
月別勝率,Monthly Win Rate
10分30秒,10 min 30 sec
残り: 0,Remaining: 0
テキスト,Text
逸品,Rare Item
残り：{0},Remaining: {0}
本日残り：{0},Today: {0} left
今月残り：{0},This month: {0} left
商品,Product
商品はありません。,No products.
ルーム参加,Join Room
ルームIDを入力してください。,Enter the Room ID.
棋士選択,Select Player
キャラクター名,Character Name
棋士詳細,Player Details
開封,Open
"所持数: 9,999","Owned: 9,999"
"アイテム説明文1
アイテム説明文2
アイテム説明文3","Item description 1
Item description 2
Item description 3"
有効期限: ～0000/00/00 00:00:00,Expires: until 0000/00/00 00:00:00
装飾品一覧,Cosmetics List
所持している装飾品はありません。,You have no cosmetics.
設定中,Equipped
設定,Settings
選択,Select
特別ログインボーナス,Special Login Bonus
幸運の勾玉ボーナス,Lucky Magatama Bonus
で1回縁結びしますか？,Use this for 1 Bond Draw?
棋晶石を使用する場合、無償棋晶石から消費されます。,"When using Kisho Stones, free stones are spent first."
ガチャタイトル,Gacha Title
で{0}回縁結びしますか？,Use this for {0} Bond Draws?
結果,Results
表示物はありません。,Nothing to display.
棋士変更,Change Player
検索,Search
ユーザーID,User ID
対局相手を待っています,Waiting for opponent
準備中...,Preparing...
準備完了！,Ready!
交換,Exchange
価格,Price
残り,Remaining
"追加購入: ￥ 9,999","Add Purchase: ¥9,999"
有効日数,Valid Days
未購入,Not Purchased
残り 999 日,999 days left
追加購入: ￥{0},Add Purchase: ¥{0}
残り{0}日,{0} days left
"ルームを作成して友人同士で対局します。
段級・レートには影響しません。","Create a room to play with friends.
Ranks and ratings are unaffected."
あああああいいいいいうう,Sample Text
"セリフ
","Voice Lines
"
ラベル,Label
宝袋開封,Open Treasure Bag
宝袋を開封しました。,Opened the Treasure Bag.
対局開始,Start Match
中級,Intermediate
アシスト有りで気軽に対戦！\n 【棋桜覚醒使用可能+無料枠有り / 指し手ガイド有り / 好手判定表示有り】,Play casually with assists!\n [Kiou Awakening available + free uses / Move guide / Good move display]
マッチング開始,Start Matching
上級,Advanced
ルール選択,Rule Select
難易度,Difficulty
無効,Off
指し手ガイド,Move Guide
有効,On
"全国のプレイヤーとランダムにマッチングして対局します。
勝敗によって段級・レートが変動します。","Match randomly with players nationwide.
Your rank and rating change based on wins and losses."
"選択された条件のCPUと対局します。
段級・レートには影響しません。","Play against a CPU with the selected settings.
Ranks and ratings are unaffected."
初級,Beginner
アシスト無しの真剣勝負！,A serious match without assists!
一手指すごとに時間回復！\n【棋桜覚醒使用可能 / 好手判定表示有り】,Time recovers after each move!\n[Kiou Awakening available / Good move display]
短い時間で素早く対戦！\n【棋桜覚醒使用可能 / 好手判定表示有り】,Fast matches with short time!\n[Kiou Awakening available / Good move display]
購入可能な商品はありません。,No products available for purchase.
法令に基づく表記,Legal Notices
パス,Pass
手動更新 5/5,Manual Refresh 5/5
自動更新まで あと 23時間,Auto refresh in 23 hours
日替わり市,Daily Market
手動更新 {0}/{1},Manual Refresh {0}/{1}
出現: {0}回 / 勝率: {1},Used: {0} / Win Rate: {1}
戦法名,Strategy Name
出現 0回 / 勝率 0.000,Used 0 / Win Rate 0.000
棋晶石,Kisho Stones
あと23時間,23 hours left
商品名,Product Name
駒名,Piece Name
成り,Promotion
詰み,Mate
持ち駒,Pieces in Hand
駒の動かし方,How Pieces Move
将棋の遊び方,How to Play Shogi
基本,Basics
"「詰将棋（つめしょうぎ）」とは、将棋のルールを使った「王手」のパズルゲームです。
あらかじめ決められた盤面からスタートし、相手の玉を絶対に逃げられない状態（詰み）にすればクリアとなります。
クリアまでの正解の手順が必ず1つに決まっているのが特徴です。","Tsume Shogi is a checkmate puzzle based on the rules of Shogi.
You start from a preset position and clear it by forcing the opponent's king into a position where it cannot escape: checkmate.
Each problem has exactly one correct sequence to clear it."
"■ルール
・ずっと王手：攻め方は、必ず毎手「王手」をかけ続けなければなりません。
・最短で詰ます：攻め方は、一番少ない手数で玉を捕まえるのが正解です。
・全力で逃げる：守り側（玉）は、一番長生きできる最善の方法で逃げます。

■注意点
・打ち歩詰めの禁止：持ち駒の「歩」を打って、王手をかけてはいけません（盤上の歩を動かして詰ますのはOK）。
・持ち駒は残さない：玉を詰ませたとき、自分の「持ち駒」が余ってはいけません（綺麗に使い切る）。
・無駄な合駒はなし：取られるだけの意味のない防御（合駒）は、手数に数えません。","Rules
- Continuous checks: the attacker must give check on every move.
- Shortest mate: the correct line mates the king in the fewest moves.
- Best defense: the defending king chooses the line that survives longest.

Notes
- No pawn-drop mate: you may not drop a pawn to give immediate mate. Moving a pawn already on the board to mate is allowed.
- Use all pieces in hand: when checkmating, you must not have unused pieces in hand.
- No meaningless interpositions: defensive drops that only get captured and do not affect the mate are not counted."
注意事項,Notes
"・それぞれの提供割合の合計値は100%ちょうどにならない場合があります。
・『10回縁結び』について、10回目は紫の贈り物が確定で登場します。提供割合は「紫の贈り物確定」に従います。","- Listed rates may not add up to exactly 100%.
- In a 10 Bond Draw, the 10th draw guarantees a Purple Gift. Its rates follow the Purple Gift Guaranteed table."
"・縁結び1回につき御守を1つ獲得することができます。獲得した御守は棋士や装飾品などと交換することができます。
・『通常縁結び』では【紅の御守】を獲得することができます。
・『イベント縁結び』では【金の御守】を獲得することができます。","- You receive one Charm for each Bond Draw. Charms can be exchanged for shogi players, cosmetics, and more.
- Normal Bond Draws give Crimson Charms.
- Event Bond Draws give Gold Charms."
"「詰道場（つめどうじょう）」とは、将棋のルールを使った「王手」のパズルゲームです。
あらかじめ決められた盤面からスタートし、相手の玉を絶対に逃げられない状態（詰み）にすればクリアとなります。","Tsume Dojo is a checkmate puzzle based on the rules of Shogi.
You start from a preset position and clear it by forcing the opponent's king into checkmate."
"■ルール
・ずっと王手：攻め方は、必ず毎手「王手」をかけ続けなければなりません。
・全力で逃げる：守り側（玉）は、一番長生きできる最善の方法で逃げます。

■注意点
・打ち歩詰めの禁止：持ち駒の「歩」を打って、王手をかけてはいけません（盤上の歩を動かして詰ますのはOK）。","Rules
- Continuous checks: the attacker must give check on every move.
- Best defense: the defending king chooses the line that survives longest.

Notes
- No pawn-drop mate: you may not drop a pawn to give immediate mate. Moving a pawn already on the board to mate is allowed."
"・各縁結びの開催期間および内容は予告なく変更する場合があります。
・『イベント縁結び』で登場する棋士や装飾品は、後日再登場する場合があります。
・すでに獲得済の棋士は【想いの石】に変換されます。
・すでに獲得済の装飾品は【装飾品の石】に変換されます。","- Bond Draw periods and contents may change without notice.
- Shogi players and cosmetics from Event Bond Draws may return later.
- Duplicate shogi players are converted into Memory Stones.
- Duplicate cosmetics are converted into Cosmetic Stones."
詰道場,Tsume Dojo
3手詰,Mate in 3
「5秒で解きたい3手詰／小田切秀人／マイナビ出版」,"""Mate in 3 to Solve in 5 Seconds"" / Hideto Odagiri / Mynavi Publishing"
詰将棋,Tsume Shogi
問題を選択してください。,Select a problem.
問題選択,Problem Select
アカウント連携,Account Linking
メニュー,Menu
通知一覧,Notifications
お問い合わせ,Contact
友人,Friends
タイトルに戻る,Return to Title
各種表記,Legal / Info
運営からのメール,Messages from Team
お知らせ,News
運営からのメールはありません。,No messages from the team.
反転,Flip
次へ,Next
継ぎ盤,Analysis Board
通知はありません。,No notifications.
メンバー詳細,Member Details
キック,Kick
ルーム主を譲渡,Transfer Host
0回,0 times
ユーザー名:,Username:
"ユーザー名
","Username
"
対局中BGM,Match BGM
アイテムがありません。,No items.
変更,Change
アイコンフレーム,Icon Frame
アイコン,Icon
将棋駒,Shogi Pieces
種別,Type
称号,Title
将棋盤,Shogi Board
並び替え,Sort
猫宮 さくら,Sakura Nekomiya
駒落ち,Handicap
対局相手,Opponent
あなたの設定,Your Settings
対局準備,Match Prep
相手の設定,Opponent Settings
"現在のアカウントを以下のサービスと
連携することができます。","You can link the current account
with the following services."
個数を選択してください。,Select a quantity.
個数選択,Quantity Select
1回縁結び,1 Bond Draw
棋士名,Player Name
御守交換,Charm Exchange
『10回縁結び』をすると<color=#FFC560>紫の贈り物</color>を必ず1つ以上獲得できます,A 10 Bond Draw guarantees at least one <color=#FFC560>Purple Gift</color>.
贈り物・宝珠の交換,Gift / Jewel Exchange
パスの購入,Buy Pass
累計購入額特典,Total Purchase Bonus
お得なセット販売,Value Sets
想いの石で交換,Exchange with Memory Stones
棋晶石を金貨に交換,Exchange Kisho Stones for Coins
縁結び券・福袋,Bond Tickets / Lucky Bags
装飾品の石で交換,Exchange with Cosmetic Stones
棋晶石の購入,Buy Kisho Stones
利用規約,Terms of Service
プライバシーポリシー,Privacy Policy
コピーライト,Copyright
ガイドライン,Guidelines
親密度は最大です。,Bond is at maximum.
贈り物はありません。,No gifts.
贈る（あと2回）,Give (2 left)
<size=32>次善</size> 6四歩,<size=32>Second Best</size> 6四 Pawn
1手目: ▲７六歩,Move 1: ▲7六 Pawn
2手目: △３四歩,Move 2: △3四 Pawn
3手目: ▲２六歩,Move 3: ▲2六 Pawn
4手目: △８四歩,Move 4: △8四 Pawn
5手目: ▲２五歩,Move 5: ▲2五 Pawn
6手目: △８五歩,Move 6: △8五 Pawn
7手目: ▲７八金,Move 7: ▲7八 Gold
8手目: △３二金,Move 8: △3二 Gold
9手目: ▲２四歩,Move 9: ▲2四 Pawn
10手目: △同歩,Move 10: △same Pawn
11手目: ▲同飛,Move 11: ▲same Rook
12手目: △８六歩,Move 12: △8六 Pawn
13手目: ▲同歩,Move 13: ▲same Pawn
14手目: △同飛,Move 14: △same Rook
15手目: ▲３四飛,Move 15: ▲3四 Rook
16手目: △３三角,Move 16: △3三 Bishop
17手目: ▲５八玉,Move 17: ▲5八 King
18手目: △２二銀,Move 18: △2二 Silver
19手目: ▲３六飛,Move 19: ▲3六 Rook
20手目: △５二玉,Move 20: △5二 King
21手目: ▲８七歩,Move 21: ▲8七 Pawn
22手目: △８四飛,Move 22: △8四 Rook
23手目: ▲３八金,Move 23: ▲3八 Gold
24手目: △６二銀,Move 24: △6二 Silver
25手目: ▲２六飛,Move 25: ▲2六 Rook
26手目: △７四歩,Move 26: △7四 Pawn
27手目: ▲９六歩,Move 27: ▲9六 Pawn
28手目: △９四歩,Move 28: △9四 Pawn
29手目: ▲３六歩,Move 29: ▲3六 Pawn
30手目: △７三桂,Move 30: △7三 Knight
31手目: ▲６八銀,Move 31: ▲6八 Silver
32手目: △４二金,Move 32: △4二 Gold
33手目: ▲３七桂,Move 33: ▲3七 Knight
34手目: △６四歩,Move 34: △6四 Pawn
35手目: ▲４六歩,Move 35: ▲4六 Pawn
36手目: △６三銀,Move 36: △6三 Silver
37手目: ▲４七金,Move 37: ▲4七 Gold
38手目: △１四歩,Move 38: △1四 Pawn
39手目: ▲１六歩,Move 39: ▲1六 Pawn
40手目: △４四歩,Move 40: △4四 Pawn
41手目: ▲４五歩,Move 41: ▲4五 Pawn
42手目: △同歩,Move 42: △same Pawn
43手目: ▲同桂,Move 43: ▲same Knight
44手目: △４四銀,Move 44: △4四 Silver
45手目: ▲２四歩,Move 45: ▲2四 Pawn
46手目: △２三歩,Move 46: △2三 Pawn
47手目: ▲３五歩,Move 47: ▲3五 Pawn
48手目: △４五銀,Move 48: △4五 Silver
49手目: ▲同金,Move 49: ▲same Gold
50手目: △同角,Move 50: △same Bishop
51手目: ▲４六歩,Move 51: ▲4六 Pawn
52手目: △３四角,Move 52: △3四 Bishop
53手目: ▲２三歩成,Move 53: ▲2三 Pawn+
54手目: △同銀,Move 54: △same Silver
55手目: ▲２四歩,Move 55: ▲2四 Pawn
56手目: △同銀,Move 56: △same Silver
57手目: ▲同飛,Move 57: ▲same Rook
58手目: △２三歩,Move 58: △2三 Pawn
59手目: ▲２六飛,Move 59: ▲2六 Rook
60手目: △８六歩,Move 60: △8六 Pawn
61手目: ▲同歩,Move 61: ▲same Pawn
62手目: △８五歩,Move 62: △8五 Pawn
63手目: ▲同歩,Move 63: ▲same Pawn
64手目: △８六歩,Move 64: △8六 Pawn
65手目: ▲２三歩,Move 65: ▲2三 Pawn
66手目: △２二金,Move 66: △2二 Gold
67手目: ▲８四歩,Move 67: ▲8四 Pawn
68手目: △同飛,Move 68: △same Rook
69手目: ▲８五歩,Move 69: ▲8五 Pawn
70手目: △同飛,Move 70: △same Rook
71手目: ▲６六角,Move 71: ▲6六 Bishop
72手目: △８二飛,Move 72: △8二 Rook
73手目: ▲８三歩,Move 73: ▲8三 Pawn
74手目: △同飛,Move 74: △same Rook
75手目: ▲８四歩,Move 75: ▲8四 Pawn
76手目: △同飛,Move 76: △same Rook
77手目: ▲４五金,Move 77: ▲4五 Gold
78手目: △同角,Move 78: △same Bishop
79手目: ▲８三歩,Move 79: ▲8三 Pawn
80手目: △８一飛,Move 80: △8一 Rook
次 ▶,Next ▶
後手優勢,Gote Advantage
