bundle_file,offset_start,offset_end,length,source,target
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,23,53,10,よろしくお願いします,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,83,98,5,盤上の新兵,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,128,149,7,期待の駆け出し,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,179,197,6,新鋭の指し手,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,227,245,6,不屈の挑戦者,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,275,290,5,智略の軍師,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,320,341,7,千里眼の戦略家,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,371,386,5,神速の名手,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,416,431,5,明鏡の達人,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,461,476,5,孤高の修羅,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,506,521,5,百戦の名将,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,551,566,5,天賦の桜傑,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,596,611,5,威風の桜帝,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,641,656,5,神技の桜聖,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,686,704,6,至高の棋桜神,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,735,751,6,猫宮 さくら,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,780,793,5,氷室 ユキ,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,822,835,5,徳永 利蔵,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,864,880,6,黒羽 エレナ,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,909,925,6,七星 みくり,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,954,973,7,西園寺 レイナ,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,1002,1014,4,ソフィア,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,1043,1056,5,八雲 龍菜,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,1085,1091,2,宵月,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,1120,1136,6,狼谷 シロウ,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,1165,1175,4,金城 豪,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,1204,1217,5,高瀬 紘一,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,3305,3327,8,ねこみや さくら,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,3335,3345,4,柊 優花,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,3353,3358,3,15歳,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,3387,3396,5,3月31日,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,3404,3895,167,"将棋カフェ「カフェ 棋桜」で働く、明るく元気な見習い店員。
天真爛漫で人懐っこく、初めてのお客さんにも笑顔で話しかけるお店のムードメーカー。
「楽しく指せばいいよ！」が口癖で、初心者に将棋を教えてくれる。
将棋の腕前はまだ未熟だけど、天真爛漫な笑顔と人懐っこい性格で、お客さんからの人気が高い。
ユキに戦法を教わりながら、日々成長中。",
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,3916,3932,6,ひむろ ゆき,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,3940,3953,5,東雲 はる,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,3961,3966,3,18歳,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,3995,4004,5,2月24日,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,4012,4366,120,"将棋カフェ「カフェ 棋桜」のチーフスタッフで、猫宮さくらの教育係でもある。
一見クールな印象だが将棋への情熱は誰よりも強く、日々研究を続けている。
仕事中は丁寧で落ち着いている印象だが、プライベートだとおっちょこちょいな一面を見せることも。",
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,4387,4412,9,とくなが としぞう,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,4420,4433,5,新田 純輝,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,4441,4446,3,68歳,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,4475,4484,5,7月15日,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,4492,4807,107,"長年働いた職（和食料理人）を引退し、今は気ままに暮らしているおじいちゃん。
将棋カフェ「カフェ 棋桜」にはほぼ毎日のように顔を出し、対局を眺めたり、気が向けば一局指したりしている。
負けても勝っても楽しそうに笑う。",
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,4828,4850,8,くろばね えれな,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,4858,4874,6,日比 優理香,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,4882,4887,3,27歳,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,4916,4926,6,12月15日,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,4934,5336,136,"ライバル将棋カフェオーナーにして、将棋界で恐れられるプロ棋士。
美貌と知略を兼ね備え、店の常連には実業家やプロ棋士志望が集まる。
将棋のイベントには頻繁に足を運び、目ぼしい人材がいたらスカウトしている。
根底には将棋を愛する純粋な思いがあり、実力者や努力家には敬意を払う。",
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,5357,5379,8,ななほし みくり,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,5387,5400,5,日高 里菜,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,5408,5413,3,14歳,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,5442,5450,4,7月7日,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,5458,5843,131,"異常な終盤力を持つ天才少女。
「カフェ棋桜」には、紅茶とスイーツ目当てで、ほぼ毎日現れる。
古めかしい言葉づかいで相手をからかいながら、自由な感性と鋭い直感で盤上を支配する。
勝てばドヤ顔、負ければ少しだけ不機嫌。
でも次の日には何事もなかったかのように現れる。",
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,5864,5889,9,さいおんじ れいな,
77466306cf3a4254b1dac34dde0a9942__remote_assets__project_masterdata_runtimemasterdata.bundle,5897,5910,5,伊藤 舞音,
